번호,LMS번호,TLP번호,학년,과정,Self_Efficacy,Math_efficacy,내재조절2,확인조절2,부과조절2,외재조절2,RAI2,숙달접근,수행접근,수행회피,숙달회피,수학흥미,주의집중,능동적학습,총점,수학학습전략,인지전략,메타인지전략,총전략점수,정서불안,인지불안,관계불안,일반불안,총불안,부모관계긍정,부모관계부정,전체관계,학원의존
272,6811,21934,4,1,3.67,4.33,4.29,5.5,4.67,3.67,-2.07,4.33,4,1.6,2.4,4.22,4.6,3.8,4.21,3.83,4.17,4,4,3.8,4.2,3.2,3.4,3.65,4,3.8,3.6,4.29
433,9688,23690,6,1,2.78,2.33,2.14,3.5,2.33,2.67,-0.12,2.17,2,4,4.2,2.11,3,2.6,2.57,2.17,2,2,2.06,2.4,3.2,2.6,2,2.55,2.5,3.4,3.05,2.43
69,3677,7421,5,1,2.22,3.89,2,3.5,3.83,4,4.33,2.17,4,4.2,3.4,1.56,2.8,3.2,2.52,3.83,2.67,3.6,3.37,2.8,2.8,2.2,3.8,2.9,2.75,4.8,2.48,2.14
161,4423,22374,6,1,4.67,2.56,2,6,1.5,1,-6.5,2,1.75,1,2.4,3,4,2.6,3.2,1.5,1.5,1,1.33,1,1,1,1,1,5.5,2.2,5.15,1.86
445,10050,23564,6,1,4.67,3.78,3.43,4.5,4,3.67,-0.02,3.5,3.5,3.4,3.4,2.11,4,3.2,3.1,4.5,3.67,3.8,3.99,3.2,3.8,3.4,4,3.6,4.25,2.4,4.43,3.57
35,3114,965,6,1,4.22,3.44,3.29,4.5,3,3,-2.07,3.33,3.25,5.2,3.4,2.78,3,3,2.93,3,2.83,4,3.28,1.4,2.2,2.8,3.6,2.5,3.5,3.8,3.35,3.71
248,6404,30058,5,1,4.22,3.89,2.71,3.5,2.33,1,-4.6,2.5,2.5,1.2,4,3.56,4.4,3.8,3.92,3.67,3,2.8,3.16,1,1,1,1,1,1.5,3.2,2.65,2.29
707,14801,31497,5,1,5.67,5.22,5.43,5.75,3.67,1.33,-10.27,5.33,3.75,1.6,1.2,5.89,5.4,5.8,5.7,4.83,5.17,5.8,5.27,1.8,1.8,2,1.2,1.7,2.25,2.6,3.33,2.43
70,3678,7389,5,1,3.11,4.44,3.71,5,4,1.67,-5.1,3.5,3.25,4.6,3,3,3.2,4.4,3.53,4,3.67,4.2,3.96,4.2,4.6,3.4,3.8,4,3.25,1.6,4.33,2.57
73,3681,7425,5,1,2.44,4,3.86,5,4.17,3,-2.55,3.83,3.5,3.2,3.4,1.89,3,1.8,2.23,2.33,2.33,2,2.22,5.2,5.4,5,5.6,5.3,4.75,5.6,3.08,4
586,12055,24946,5,1,4.11,3.89,4.29,5,3.17,1.67,-7.07,4.33,3.25,2.4,3.2,3.56,3.2,3.2,3.32,4.67,3.67,3.4,3.91,3.4,2.8,2.8,3.6,3.15,2.75,4.2,2.78,3.71
467,10470,19750,6,1,4.22,4.67,3.86,4.5,4.83,3,-1.38,4,4.5,3.6,3.2,3.44,3.2,3,3.21,4.67,3.67,2.8,3.71,1.2,3.2,3.2,2.8,2.6,3.5,3.4,3.55,2.43
720,15180,31760,4,1,3.22,4.11,4.29,2.75,3.67,4.33,1.01,4.33,2.5,4,3.8,3.33,3.8,3.6,3.58,3.5,4.17,3.2,3.62,4.2,3.2,4,3.2,3.65,2.5,2,3.75,3.29
734,15516,31920,5,1,3.44,2.89,2.43,3.25,2.83,2.33,-0.61,2.5,2.5,4.6,1.4,1,4.6,3,2.87,4.17,3.67,3.4,3.74,5.8,6,5.6,6,5.85,4.5,3.6,3.95,1.86
74,3682,7422,4,1,4.89,3.56,5.29,5.5,3.83,1,-10.24,5.5,2.75,1.2,2.8,3.67,4.4,3.4,3.82,3.33,2.83,2.4,2.86,1.8,2.2,2.4,2,2.1,4,3.6,3.7,2
162,4424,22373,6,1,3.56,4.22,3.29,4,2.17,3,-2.4,3.33,1.5,1,2.2,2.67,3,3.8,3.16,3.67,4,2.8,3.49,1,1.6,1.6,1,1.3,3,3,3.5,2.86
641,13240,26558,6,1,4.89,4.78,4.71,6,2.67,1.67,-9.43,4.83,2,1.2,1.8,4.89,5.6,5,5.16,3.67,4,4,3.89,1.2,1.8,1,1.4,1.35,6,1.6,5.7,4.14
355,8145,23053,6,1,5,4.44,3.43,3,1.5,1,-6.36,3.5,1.5,1.8,2.6,2.33,3.6,3.2,3.04,4.5,3.17,3.6,3.76,1,1.6,1.4,2,1.5,4.75,2,4.88,2.86
733,15509,31913,4,1,4.56,4.67,4,4.75,3.5,1,-7.25,4,3.75,1.4,2.2,3.44,4.8,4,4.08,3.5,4,2.8,3.43,2.2,3.6,1.8,2.6,2.55,4.5,1.6,4.95,3
732,15484,31944,3,1,3.78,3.22,3.57,5.75,2.5,1.67,-7.06,3.67,2.5,4.2,3.4,3,4.2,3.4,3.53,4.67,2.67,3.6,3.64,4.4,4.6,3.2,5,4.3,2.75,3.6,3.08,2.43
418,9450,23569,4,1,3.22,2.78,3.71,4.25,1.83,1.33,-7.18,3.83,1.5,2.8,3.2,2.89,3.6,3,3.16,4.17,3.17,2.8,3.38,3.8,5.2,4,3.8,4.2,3.5,2.8,3.85,3
233,6048,22292,6,1,4.22,4.56,2.71,6,2.83,1.67,-5.26,2.83,3,1,3.2,1.11,3,4.2,2.77,3.17,4.33,3.2,3.57,1,1.6,1.6,1,1.3,3.5,3,3.75,3.71
316,7698,22476,4,1,5.11,5.11,5.43,5.5,5.17,1,-9.19,5.67,5.25,2.4,1.2,5.44,5.2,4.2,4.95,3.67,3.67,4.2,3.84,1,1,2,1,1.25,4.5,2.4,4.55,3
594,12192,25060,5,1,4.78,4.44,5.29,5.5,1,1,-13.07,5.33,1,1.4,1.4,3.89,5.4,4.4,4.56,4.17,4.17,5.6,4.64,1,1,1.4,1,1.1,5.75,1.2,5.78,2.43
